Province/territory,Region,"30-day readmission for mood disorders, risk-adjusted rate (per 100), 2019–2020","95% confidence interval,
2019–2020"
Newfoundland and Labrador,Eastern Health,11.4,(7.9–16.1)
Newfoundland and Labrador,Central Health,10.2,(5.3–17.8)
Newfoundland and Labrador,Western Health,12.6,(8.7–17.7)
Newfoundland and Labrador,Labrador–Grenfell Health,19.4,(12.8–28.2)*
Newfoundland and Labrador,Total,13.1,(10.7–15.8)
Prince Edward Island,Health PEI,10.3,(6.9–14.8)
Prince Edward Island,Total,10.3,(6.9–14.8)
Nova Scotia,Western Zone,3.7,(1.0–9.4)*
Nova Scotia,Northern Zone,15,(8.6–24.3)
Nova Scotia,Eastern Zone,8.3,(5.3–12.2)
Nova Scotia,Central Zone,8.4,(5.0–13.1)
Nova Scotia,Total,9.1,(7.1–11.5)
New Brunswick,Zone 1 (Moncton Area),10.4,(6.9–15.0)
New Brunswick,Zone 2 (Saint John Area),4.6,(1.5–10.7)*
New Brunswick,Zone 3 (Fredericton Area),11.3,(7.2–16.8)
New Brunswick,Zone 4 (Edmundston Area),13.1,(7.6–21.0)
New Brunswick,Zone 5 (Campbellton Area),—,—
New Brunswick,Zone 6 (Bathurst Area),8.5,(5.1–13.3)
New Brunswick,Zone 7 (Miramichi Area),9.1,(3.9–17.8)
New Brunswick,Total,10,(8.2–12.1)
Quebec,Bas-Saint-Laurent Region,10.4,(7.2–14.5)
Quebec,Saguenay–Lac-Saint-Jean Region,11.5,(7.9–16.1)
Quebec,Capitale-Nationale Region,9.4,(7.0–12.2)
Quebec,Mauricie et Centre-du-Québec Region,10.7,(8.4–13.5)
Quebec,Estrie Region,16.6,(13.5–20.3)*
Quebec,Montréal Region,13.6,(11.9–15.5)*
Quebec,Outaouais Region,9.4,(6.9–12.5)
Quebec,Abitibi-Témiscamingue Region,10.6,(6.5–16.2)
Quebec,Côte-Nord Region,9,(4.5–16.2)
Quebec,Nord-du-Québec Region,—,—
Quebec,Gaspésie–Îles-de-la-Madeleine Region,11.7,(6.4–19.6)
Quebec,Chaudière-Appalaches Region,10.3,(7.5–13.9)
